SPEAKER	AllPct	Apostro	Colon	Comma	Dash	Exclam	Numerals	OtherP	Parenth	Period	QMark	Quote	SemiC	Sixltr	achieve	adverb	affect	anger	anx	article	assent	auxverb	bio	body	cause	certain	cogmech	conj	death	discrep	excl	family	feel	filler	friend	funct	future	health	hear	home	humans	i	incl	ingest	inhib	insight	ipron	leisure	money	motion	negate	negemo	nonfl	number	past	percept	posemo	ppron	preps	present	pronoun	quant	relativ	relig	sad	see	sexual	shehe	social	space	swear	tentat	they	time	verb	we	work	you
WATSON	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.45	0.0	0.0	0.0	0.0	0.0	9.68	0.0	9.68	0.0	0.0	0.0	0.0	12.90	3.23	3.23	0.0	3.23	0.0	0.0	0.0	0.0	67.74	0.0	0.0	0.0	0.0	0.0	6.45	3.23	0.0	0.0	0.0	9.68	0.0	3.23	0.0	3.23	0.0	0.0	3.23	0.0	0.0	0.0	6.45	25.81	6.45	16.13	0.0	25.81	0.0	0.0	0.0	0.0	0.0	3.23	16.13	0.0	3.23	0.0	9.68	9.68	0.0	0.0	0.0
WATSON	3.33	0.0	0.0	0.0	3.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.33	3.33	0.0	3.33	0.0	0.0	13.33	0.0	0.0	0.0	0.0	3.33	6.67	23.33	3.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.67	0.0	0.0	0.0	0.0	3.33	3.33	6.67	0.0	3.33	3.33	6.67	3.33	0.0	0.0	0.0	0.0	0.0	3.33	0.0	0.0	3.33	3.33	13.33	0.0	10.00	3.33	10.00	0.0	0.0	0.0	0.0	0.0	10.00	3.33	0.0	3.33	0.0	6.67	0.0	0.0	10.00	0.0
WATSON	0.0	0.0	0.0	0.0	0.0	0.0	4.76	0.0	0.0	0.0	0.0	0.0	0.0	23.81	4.76	4.76	4.76	4.76	0.0	4.76	0.0	14.29	0.0	0.0	4.76	0.0	14.29	4.76	4.76	0.0	0.0	0.0	0.0	0.0	0.0	52.38	0.0	0.0	0.0	0.0	0.0	0.0	9.52	0.0	0.0	4.76	4.76	0.0	0.0	0.0	0.0	4.76	0.0	0.0	14.29	0.0	0.0	4.76	14.29	0.0	9.52	0.0	14.29	0.0	0.0	0.0	0.0	0.0	4.76	4.76	0.0	0.0	0.0	9.52	14.29	4.76	0.0	0.0
WATSON	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.54	0.0	0.0	7.69	3.85	0.0	19.23	0.0	7.69	0.0	0.0	0.0	0.0	7.69	0.0	3.85	0.0	0.0	0.0	3.85	0.0	0.0	57.69	3.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.85	7.69	0.0	0.0	0.0	0.0	7.69	0.0	0.0	3.85	7.69	0.0	7.69	15.38	0.0	15.38	0.0	15.38	0.0	3.85	0.0	0.0	3.85	7.69	11.54	0.0	3.85	0.0	3.85	7.69	0.0	0.0	3.85
WATSON	3.57	0.0	0.0	0.0	3.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.14	0.0	3.57	10.71	3.57	0.0	3.57	0.0	10.71	3.57	0.0	0.0	3.57	17.86	3.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.14	0.0	0.0	3.57	3.57	7.14	10.71	7.14	3.57	0.0	3.57	3.57	0.0	0.0	0.0	0.0	3.57	0.0	0.0	3.57	3.57	7.14	17.86	10.71	7.14	21.43	3.57	10.71	0.0	0.0	0.0	0.0	7.14	21.43	7.14	0.0	3.57	0.0	3.57	10.71	0.0	0.0	0.0
WATSON	8.57	0.0	0.0	0.0	8.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.14	0.0	8.57	5.71	0.0	0.0	0.0	0.0	14.29	0.0	0.0	2.86	2.86	20.00	11.43	0.0	2.86	5.71	0.0	0.0	0.0	0.0	57.14	2.86	0.0	0.0	0.0	2.86	5.71	2.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.86	2.86	0.0	0.0	2.86	0.0	2.86	20.00	5.71	2.86	20.00	2.86	0.0	5.71	0.0	0.0	0.0	8.57	17.14	0.0	0.0	2.86	0.0	0.0	14.29	2.86	0.0	2.86
MRS. HUDSON	3.57	0.0	0.0	0.0	3.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.29	0.0	3.57	0.0	0.0	0.0	7.14	0.0	17.86	0.0	0.0	0.0	0.0	17.86	7.14	0.0	7.14	0.0	0.0	0.0	0.0	0.0	64.29	3.57	0.0	0.0	3.57	0.0	10.71	7.14	0.0	0.0	0.0	0.0	0.0	0.0	7.14	0.0	0.0	0.0	0.0	3.57	0.0	0.0	25.00	3.57	17.86	25.00	7.14	14.29	0.0	0.0	0.0	0.0	0.0	17.86	3.57	0.0	3.57	0.0	3.57	28.57	0.0	0.0	14.29
HOLMES	4.76	0.0	0.0	0.0	4.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.52	0.0	4.76	4.76	0.0	0.0	0.0	0.0	9.52	4.76	4.76	0.0	4.76	14.29	14.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.38	0.0	0.0	0.0	0.0	4.76	4.76	0.0	0.0	0.0	4.76	0.0	0.0	0.0	9.52	4.76	0.0	0.0	4.76	0.0	0.0	4.76	19.05	14.29	14.29	19.05	0.0	19.05	0.0	0.0	0.0	0.0	0.0	19.05	0.0	0.0	4.76	0.0	9.52	14.29	0.0	0.0	14.29
MRS. HUDSON	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.00	25.00	0.0	0.0	0.0	0.0	50.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.00	0.0	0.0	75.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.00	0.0	0.0	0.0	0.0	0.0	25.00	0.0	0.0	25.00
WATSON	0.0	8.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.00	8.33	16.67	0.0	0.0	0.0	8.33	0.0	16.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.33	0.0	8.33	0.0	0.0	0.0	0.0	0.0	8.33	0.0	16.67	8.33	16.67	16.67	0.0	8.33	0.0	0.0	8.33	0.0	0.0	16.67	0.0	0.0	0.0	16.67	0.0	16.67	0.0	0.0	0.0
